original_title,cast,director,runtime,genres,production_companies,release_year,budget,revenue
Far from Heaven,Julianne Moore|Dennis Quaid|Dennis Haysbert|Patricia Clarkson|Viola Davis,Todd Haynes,107,Drama|Romance,Clear Blue Sky Productions,2002,1636552881,3518941948
Buzz Lightyear of Star Command: The Adventure Begins,Tim Allen|Stephen Furst|Nicole Sullivan|Larry Miller|Wayne Knight,Tad Stones,70,Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Television Animation,2000,0,0
Real Genius,Val Kilmer|Gabriel Jarret|Michelle Meyrink|William Atherton|Jon Gries,Martha Coolidge,106,Comedy|Romance,TriStar Pictures|Delphi III Productions,1985,0,2635315868
Captivity,Elisha Cuthbert|Daniel Gillies|Pruitt Taylor Vince|Laz Alonso|Chrysta Olson,Roland JoffÃ©,96,Crime|Horror|Thriller,Foresight Unlimited|RAMCO|Captivity Productions,2007,178783659,2762523033
Grumpy Old Men,Jack Lemmon|Walter Matthau|Ann-Margret|Burgess Meredith|Daryl Hannah,Donald Petrie,103,Comedy|Family|Romance,Warner Bros.|Lancaster Gate|John Davis,1993,0,0
Married to the Mob,Michelle Pfeiffer|Matthew Modine|Oliver Platt|Alec Baldwin|Dean Stockwell,Jonathan Demme,104,Action|Comedy|Thriller|Crime|Romance,Orion Pictures|Mysterious Arts|Orion Pictures Corporation,1988,1843891023,3961923835
Blues Brothers 2000,Dan Aykroyd|John Goodman|Joe Morton|J. Evan Bonifant|B.B. King,John Landis,123,Music|Action|Comedy|Crime,Universal Pictures,1998,3745547313,1879647271
Hell & Back,Mila Kunis|Bob Odenkirk|T.J. Miller|Susan Sarandon|Jennifer Coolidge,Tom Gianas|Ross Shuman,86,Fantasy|Comedy|Animation,Freestyle Releasing|ShadowMachine Films,2015,0,1451464961
An Officer and a Gentleman,Richard Gere|Debra Winger|Louis Gossett Jr.|David Keith|Robert Loggia,Taylor Hackford,124,Drama|Romance,Paramount Pictures|Lorimar Film Entertainment,1982,0,2932915375
Code 46,Tim Robbins|Samantha Morton|Nabil Elouahabi|Om Puri|Emil Marwa,Michael Winterbottom,92,Drama|Romance|Science Fiction|Thriller,BBC Films,2003,8890144836,0
16 Blocks,Bruce Willis|Mos Def|David Morse|Jenna Stern|David Zayas,Richard Donner,105,Action|Adventure|Crime|Thriller,Donners' Company|Cheyenne Enterprises|Alcon Entertainment|Nu Image Entertainment GmbH|Millennium Films,2006,5949180371,7102750349
Tyrannosaur,Peter Mullan|Olivia Colman|Eddie Marsan|Paul Popplewell|Samuel Bottomley,Paddy Considine,93,Drama|Romance,WarpX|Inflammable Films,2011,0,2163793371
He Got Game,Denzel Washington|Ray Allen|Milla Jovovich|Rosario Dawson|Hill Harper,Spike Lee,136,Drama,40 Acres & A Mule Filmworks|Touchstone Pictures,1998,3344238673,2885121924
The Lord of the Rings,Christopher Guard|William Squire|Michael Scholes|John Hurt|Simon Chandler,Ralph Bakshi,132,Drama|Animation|Adventure,Fantasy Films,1978,1337080278,1018568368
Blue Streak,Martin Lawrence|Luke Wilson|Dave Chappelle|Peter Greene|Nicole Ari Parker,Les Mayfield,93,Thriller|Action|Comedy|Crime,Columbia Pictures,1999,8508843503,1541520996
House 2: The Second Story,Arye Gross|Jonathan Stark|Royal Dano|Bill Maher|John Ratzenberger,Ethan Wiley,88,Fantasy|Horror|Comedy,New World Pictures|Sean S. Cunningham Films,1987,0,1496882742
The Legend of Hercules,Kellan Lutz|Liam McIntyre|Gaia Weiss|Scott Adkins|Roxanne McKee,Renny Harlin,99,Action|Adventure,Millennium Films,2014,6447637355,5644395483
Dreamscape,Dennis Quaid|Max von Sydow|Christopher Plummer|Eddie Albert|Kate Capshaw,Joseph Ruben,99,Adventure|Horror|Science Fiction|Thriller,Weintraub Entertainment Group|Zupnik-Curtis Enterprises|Chevy Chase Films,1984,0,254932203
Maps to the Stars,Julianne Moore|Mia Wasikowska|Evan Bird|John Cusack|Robert Pattinson,David Cronenberg,112,Drama,Integral Film|Prospero Pictures|SBS Productions|Sentient Entertainment,2014,0,1232756024
Shrink,Kevin Spacey|Mark Webber|Keke Palmer|Jack Huston|Pell James,Jonas Pate,104,Comedy|Drama,Ignite Entertainment,2009,5183642214,0
The Gauntlet,Clint Eastwood|Sondra Locke|Pat Hingle|William Prince|Bill McKinney,Clint Eastwood,109,Drama|Action|Crime|Thriller,Malpaso Productions|Warner Bros.,1977,1978779568,9503415553
A Turtleâ€™s Tale 2: Sammyâ€™s Escape From Paradise,Kaitlyn Maher|Carter Hastings|Alan Shearman|Khary Payton|Carlos Alazraqui,Ben Stassen|Vincent Kesteloot,92,Animation|Adventure,Studio Canal|Warner Bros.|uFilm|nWave Pictures,2012,0,0
The Jungle Book,Jason Scott Lee|Cary Elwes|Lena Headey|Sam Neill|John Cleese,Stephen Sommers,111,Adventure|Drama|Family,,1994,0,0
Snowtown,Lucas Pittaway|Daniel Henshall|Louise Harris|Frank Cwertniak|Matthew Howard,Justin Kurzel,119,Crime|Drama|Horror|Thriller,South Australian Film Corporation|Screen Australia|Warp Films Australia,2011,0,8193352256
The Tigger Movie,Jim Cummings|Nikita Hopkins|Ken Sansom|John Fiedler|Peter Cullen,Jun Falkenstein,77,Animation|Family,Walt Disney Pictures,2000,3798876343,5768534591
Pina,Regina Advento|Malou Airaudo|Ruth Amarante|Pina Bausch|Jorge Puerta,Wim Wenders,106,Documentary,Neue Road Movies|Zweites Deutsches Fernsehen (ZDF)|ARTE|Eurowide Film Production|Recorded Picture Company (RPC),2011,41858084,141772777
Alpha and Omega,Hayden Panettiere|Justin Long|Dennis Hopper|Christina Ricci|Danny Glover,Anthony Bell|Ben Gluck,88,Family|Animation,Lions Gate Family Entertainment|Relativity Media|Crest Animation Productions,2010,20000000,39300000
Tooth Fairy 2,Larry the Cable Guy|David Mackey|Erin Beute|Brady Reiter|Lucius Baston,Alex Zamm,90,Comedy|Family,20th Century Pictures,2012,4748721407,0
Goal! II: Living the Dream,Kuno Becker|Stephen Dillane|Anna Friel|Leonor Varela|Elizabeth PeÃ±a,Jaume Collet-Serra,115,Drama,Impala,2007,2423044414,0
Girl in Progress,Eva Mendes|Matthew Modine|Landon Liboiron|Patricia Arquette|Raini Rodriguez,Patricia Riggen,93,Comedy|Drama,Pantelion Films,2012,4748721407,0
Parental Guidance,Billy Crystal|Bette Midler|Marisa Tomei|Tom Everett Scott|Bailee Madison,Andy Fickman,104,Comedy,20th Century Fox|Chernin Entertainment|Walden Media,2012,2374360703,1137529924
The Singing Detective,Robert Downey Jr.|Robin Wright|Mel Gibson|Jeremy Northam|Katie Holmes,Keith Gordon,109,Comedy|Music|Mystery|Crime,Icon Productions|Haft Entertainment|Paramount Classics|Airborne Productions,2003,0,0
Always,Richard Dreyfuss|Holly Hunter|John Goodman|Audrey Hepburn|Brad Johnson,Steven Spielberg,122,Fantasy|Drama|Romance,Universal Pictures|Amblin Entertainment|United Artists,1989,5452853311,1304019791
Milf,Joseph Booton|Ramon Camacho|Philip Marlatt|Jack Cullison|Jamie Bernadette,Scott Wheeler,88,Comedy,The Asylum|The Global Asylum,2010,500000,0
Surviving Christmas,Ben Affleck|James Gandolfini|Christina Applegate|Catherine O'Hara|Josh Zuckerman,Mike Mitchell,91,Comedy|Romance,DreamWorks SKG|LivePlanet|Tall Trees Productions,2004,5195004299,1707843117
Neverland,Rhys Ifans|Anna Friel|Charles Dance|Q'orianka Kilcher|Charlie Rowe,Nick Willing,180,Adventure|Fantasy|Family,,2011,0,0
Grave Encounters 2,Reese Alexander|Stephanie Bennett|Jeffrey Bowyer-Chapman|Richard Harmon|Howie Lai,John Poliquin,95,Horror,Death Awaits Cinema|Twin Engine Films|Pink Buffalo Films,2012,0,0
Zombeavers,Rachel Melvin|Cortney Palm|Lexi Atkins|Hutch Dano|Peter Gilroy,Jordan Rubin,85,Horror|Action|Comedy,BenderSpink|Armory Films,2014,0,1376754794
The Rookie,Dennis Quaid|Rachel Griffiths|Beth Grant|Angus T. Jones|Brian Cox,John Lee Hancock,127,Drama|Family,Walt Disney Pictures|Gran Via Productions|98 MPH Productions,2002,2424522787,9164337549
In the Electric Mist,Tommy Lee Jones|John Goodman|Peter Sarsgaard|Kelly Macdonald|Mary Steenburgen,Bertrand Tavernier,117,Thriller|Drama|Crime|Mystery,TF1 International|Ithaca Pictures|Little Bear,2009,0,0
V/H/S,Calvin Lee Reeder|Lane Hughes|Adam Wingard|Hannah Fierman|Mike Donlan,Matt Bettinelli-Olpin|David Bruckner|Tyler Gillett|Justin Martinez|Glenn McQuaid|Joe Swanberg|Chad Villella|Ti West|Adam Wingard|Radio Silence,116,Horror|Thriller,The Collective|Bloody Disgusting|8383 Productions,2012,0,9530208991
Beavis and Butt-Head Do America,Mike Judge|Bruce Willis|Demi Moore|Robert Stack,Mike Judge,81,Animation|Comedy,Paramount Pictures|Geffen Pictures|MTV Films|Viacom International|Paramount Animation,1996,1668260087,0
Air Mater,Larry the Cable Guy|Stacy Keach|Keith Ferguson|Jonathan Adams|Jan Rabson,Rob Gibbs,6,Animation|Family,Pixar Animation Studios,2011,0,0
Down to Earth,Chris Rock|Regina King|Chazz Palminteri|Eugene Levy|Frankie Faison,Chris Weitz|Paul Weitz,87,Fantasy|Comedy|Science Fiction|Romance,Paramount Pictures|Alphaville Films,2001,0,0
Daai laap mat taam 008,Stephen Chow|Carina Lau|Carman Lee|Law Kar-Ying|Cheung Tat-Ming,Stephen Chow|Vincent Kok,89,Action|Adventure|Comedy,,1996,0,0
The Bounty,Mel Gibson|Anthony Hopkins|Laurence Olivier|Edward Fox|Daniel Day-Lewis,Roger Donaldson,132,Action|Drama|History,Dino De Laurentiis Company,1984,1805176154,0
Tomcats,Jerry O'Connell|Shannon Elizabeth|Jake Busey|Horatio Sanz|Bernie Casey,Gregory Poirier,95,Comedy|Romance,Columbia Pictures|Revolution Studios,2001,1354636928,2885470989
Another Woman,Mia Farrow|Gena Rowlands|Ian Holm|Blythe Danner|Gene Hackman,Woody Allen,84,Drama,,1988,0,0
Hyde Park on Hudson,Bill Murray|Olivia Williams|Laura Linney|Olivia Colman|Elizabeth Marvel,Roger Michell,94,Comedy|Drama|History,Daybreak Pictures|Free Range Films,2012,0,8440950124
You Will Meet a Tall Dark Stranger,Naomi Watts|Josh Brolin|Antonio Banderas|Ewen Bremner|Gemma Jones,Woody Allen,98,Comedy|Drama|Romance,Antena 3 Films,2010,22000000,0
Bullets Over Broadway,John Cusack|Dianne Wiest|Jennifer Tilly|Chazz Palminteri|Mary-Louise Parker,Woody Allen,98,Action|Comedy|Thriller,Miramax Films,1994,0,0
You Don't Know Jack,Al Pacino|Danny Huston|Susan Sarandon|John Goodman|Brenda Vaccaro,Barry Levinson,134,Drama,Bee Holder Productions|Royal Oak Films|HBO Films|Cine Mosaic,2010,0,0
Next Friday,Ice Cube|Mike Epps|Justin Pierce|John Witherspoon|Don Curry,Steve Carr,98,Comedy,New Line Cinema,2000,1392921326,7575887367
Kelly's Heroes,Clint Eastwood|Telly Savalas|Don Rickles|Carroll O'Connor|Donald Sutherland,Brian G. Hutton,144,Action|Adventure|Comedy|Drama|War,Katzka-Loeb|Avala Film|Metro-Goldwyn-Mayer (MGM),1970,0,2920511539
Alien Abduction,Katherine Sigimund|Corey Eid|Riley Polanski|Jillian Clare|Jeff Bowser,Matty Beckerman,85,Horror|Science Fiction|Thriller,Next Entertainment|Lawrence Bender Productions|BIG Pictures|Exclusive Media Group|Mob Scene Creative Productions,2014,0,0
Space Buddies,Diedrich Bader|Field Cate|Kendall Cross|Mike Dopud|Jason Earles,Robert Vince,84,Adventure|Drama|Family,,2009,0,0
Wonder Woman,Keri Russell|Nathan Fillion|Alfred Molina|Rosario Dawson|Virginia Madsen,Lauren Montgomery,74,Action|Adventure|Animation|Science Fiction,DC Comics|Warner Bros. Animation,2009,0,0
JÃ¤garna 2,Rolf LassgÃ¥rd|Peter Stormare|Annika Nordin|Kim TjernstrÃ¶m|Eero Milonoff,Kjell Sundvall,129,Crime|Thriller|Mystery,Filmpool Nord|Sonet Film AB|Harmonica Films,2011,0,0
Megamind: The Button Of Doom,Will Ferrell|David Cross,Simon J. Smith,16,Animation|Action|Comedy|Family,DreamWorks Animation,2011,0,0
License to Wed,Robin Williams|Mandy Moore|John Krasinski|Eric Christian Olsen|Christine Taylor,Ken Kwapis,91,Comedy,Village Roadshow Pictures|Warner Bros. Pictures|Robert Simonds Productions|Phoenix Pictures|Underground,2007,3680840039,7288823003
Hard Rain,Morgan Freeman|Christian Slater|Randy Quaid|Minnie Driver|Ed Asner,Mikael Salomon,97,Thriller,Paramount Pictures|Toho-Towa|Mutual Film Company|PolyGram Filmed Entertainment|Marubeni,1998,9363868284,2658076744
Bright Star,Abbie Cornish|Ben Whishaw|Paul Schneider|Kerry Fox|Edie Martin,Jane Campion,119,Drama|Romance,BBC Films|PathÃ© Renn Productions|UK Film Council|Screen Australia|Australian Film Finance Corporation (AFFC),2009,863940369,451287383
Tenebre,Anthony Franciosa|John Saxon|Daria Nicolodi|Giuliano Gemma|Christian Borromeo,Dario Argento,110,Horror|Thriller|Mystery,Sigma Cinematografica Roma,1982,0,0
The Cotton Club,Richard Gere|Diane Lane|Bob Hoskins|James Remar|Nicolas Cage,Francis Ford Coppola,127,Music|Drama|Crime|Romance,Orion Pictures|PSO International|Totally Independent,1984,1217444383,544254754
The Devil Inside,Fernanda Andrade|Simon Quarterman|Evan Helmuth|Ionut Grama|Suzan Crowley,William Brent Bell,83,Thriller|Horror,Room 101|Prototype,2012,9497442814,9664454396
The Crow: City of Angels,Vincent PÃ©rez|Mia Kirshner|Iggy Pop|Thomas Jane|Richard Brooks,Tim Pope,84,Action|Fantasy|Thriller,Miramax Films,1996,1807281761,249089123
Retreat,Cillian Murphy|Jamie Bell|Thandie Newton|Jimmy Yuill|Marilyn Mantle,Carl Tibbetts,89,Thriller,Ripple World Pictures|Magnet Films,2011,0,0
Love and Death,Woody Allen|Diane Keaton|Georges Adet|Frank Adu|Edmond Ardisson,Woody Allen,85,Comedy|History,United Artists,1975,0,0
13 Sins,Mark Webber|Devon Graye|Rutina Wesley|Ron Perlman|Pruitt Taylor Vince,Daniel Stamm,88,Horror|Thriller,Sahamongkol Film International|Dimension Films|IM Global|Automatik Entertainment|Radius-TWC,2014,4605455254,0
Kangaroo Jack,Jerry O'Connell|Anthony Anderson|Estella Warren|Christopher Walken|Michael Shannon,David McNally,89,Comedy|Adventure|Crime,Castle Rock Entertainment|Jerry Bruckheimer Films|Warner Bros. Pictures,2003,0,0
Flukt,Isabel Christine Andreasen|Ingrid BolsÃ¸ Berdal|Kristian Espedal|Hallvard Holmen|BjÃ¸rn Moan,Roar Uthaug,76,Action|History,Fantefilm|Film Fund FUZZ,2012,0,0
Police Academy 6: City Under Siege,Bubba Smith|David Graf|Michael Winslow|Leslie Easterbrook|G. W. Bailey,Peter Bonerz,84,Comedy|Crime,Warner Bros.,1989,0,2034656049
Monster,Charlize Theron|Christina Ricci|Bruce Dern|Lee Tergesen|Annie Corley,Patty Jenkins,110,Crime|Drama,Newmarket Films,2003,9482821158,7156991423
I Could Never Be Your Woman,Michelle Pfeiffer|Paul Rudd|Saoirse Ronan|Stacey Dash|Fred Willard,Amy Heckerling,97,Comedy|Drama|Romance,Scott Rudin Productions|I Could Never Ltd.|Bauer Martinez Studios,2007,2524004598,1007129892
Half Nelson,Ryan Gosling|Jeff Lima|Shareeka Epps|Nathan Corbett|Tyra Kwao-Vovo,Ryan Fleck,107,Drama,Thinkfilm|Hunting Lane Films|Journeyman Pictures|Original Media|Silverwood Films,2006,7571684108,0
Taste the Blood of Dracula,Christopher Lee|Geoffrey Keen|Gwen Watford|Linda Hayden|Peter Sallis,Peter Sasdy,95,Horror,Hammer Film Productions,1970,0,0
The Crucible,Daniel Day-Lewis|Winona Ryder|Paul Scofield|Joan Allen|Bruce Davison,Nicholas Hytner,124,Drama|History,20th Century Fox,1996,3475541847,0
Scooby-Doo! Curse of the Lake Monster,Robbie Amell|Hayley Kiyoko|Kate Melton|Nick Palatas|Ted McGinley,Brian Levant,79,Mystery|Fantasy|Comedy|Adventure,Warner Bros. Pictures|Atlas Entertainment|Cartoon Network Studios|Nine/8 Entertainment,2010,0,0
National Lampoon's Loaded Weapon 1,Emilio Estevez|Samuel L. Jackson|Jon Lovitz|Tim Curry|Kathy Ireland,Gene Quintano,84,Comedy,New Line Cinema,1993,1207575969,4075568897
Smoke,Harvey Keitel|William Hurt|Giancarlo Esposito|JosÃ© ZÃºÃ±iga|Stephen Gevedon,Wayne Wang|Paul Auster,112,Comedy|Drama,Miramax Films,1995,1001676807,1194775769
Jug Face,Sean Bridgers|Lauren Ashley Carter|Sean Young|Larry Fessenden|Daniel Manche,Chad Crawford Kinkle,81,Horror|Thriller|Drama,ModerncinÃ©|New Company,2013,0,0
Scoop,Scarlett Johansson|Hugh Jackman|Woody Allen|Ian McShane|Kevin McNally,Woody Allen,96,Comedy|Mystery,BBC Films|Ingenious Film Partners|Ingenious Media|Perdido Prod.,2006,4326676633,3416441328
Wild Hearts Can't Be Broken,Gabrielle Anwar|Cliff Robertson|Michael Schoeffling|Dylan Kussman|Kathleen York,Steve Miner,88,Drama|Family,Walt Disney Pictures,1991,0,0
War Games: The Dead Code,Matt Lanter|Amanda Walsh|Gary Reineke|Colm Feore|Chuck Shamata,Stuart Gillard,96,Science Fiction|Drama|Thriller,Metro-Goldwyn-Mayer (MGM),2008,0,0
Open Grave,Sharlto Copley|Joseph Morgan|Thomas Kretschmann|Erin Richards|Josie Ho,Gonzalo LÃ³pez-Gallego,102,Horror|Thriller|Mystery,Speranza Films A/S|Atlas Independent|852 Films,2013,0,0
The Day After,Jason Robards|John Cullum|JoBeth Williams|Steve Guttenberg|John Lithgow,Nicholas Meyer,127,Science Fiction|Drama,ABC Circle Films,1983,0,0
Poison Ivy II: Lily,Alyssa Milano|Johnathon Schaech|Xander Berkeley|Belinda Bauer|Camilla Belle,Anne Goursaud,106,Drama|Thriller|Romance,New Line Cinema|CineTel Pictures|MG Entertainment,1996,0,0
The Thomas Crown Affair,Steve McQueen|Faye Dunaway|Paul Burke|Jack Weston|Biff McGuire,Norman Jewison,102,Romance|Crime|Thriller|Drama,United Artists|The Mirisch Corporation|Solar Productions|Simkoe,1968,2695654354,0
Calibre 45,Milla Jovovich|Angus Macfadyen|Stephen Dorff|Aisha Tyler|Sarah Strange,Gary Lennon,101,Drama|Crime|Thriller,Media Talent Group|MÃ¶bius Entertainment,2006,5408345791,0
A Civil Action,John Travolta|Robert Duvall|Tony Shalhoub|William H. Macy|Zeljko Ivanek,Steven Zaillian,115,Drama,Paramount Pictures|Wildwood Enterprises|Touchstone Pictures,1998,9363868284,7585121375
Courageous,Alex Kendrick|Ken Bevel|Ben Davies|Kevin Downes|Rusty Martin,Alex Kendrick,129,Drama,TriStar Pictures|Provident Films|Affirm Films|Sherwood Pictures|Alabama Production Group,2011,9693980426,3346577346
The Sure Thing,John Cusack|Daphne Zuniga|Anthony Edwards|Boyd Gaines|Tim Robbins,Rob Reiner,100,Comedy|Drama|Romance,Monument Pictures|Embassy Films,1985,0,0
Stargate SG-1: Children of the Gods,Richard Dean Anderson|Michael Shanks|Amanda Tapping|Christopher Judge|Don S. Davis,Mario Philip Azzopardi,92,Adventure|Thriller|Science Fiction,Metro-Goldwyn-Mayer (MGM),2009,0,0
Lemon Tree Passage,Jessica Tovey|Nicholas Gunn|Pippa Black|Tim Phillips|Andrew Ryan,David Campbell,84,Thriller|Horror|Mystery,Thirteen Disciples,2014,0,0
Assassin's Creed: Lineage,Romano Orzari|Manuel Tadros|Jesse Rath|Devon Bostick|Alex Ivanovici,Yves Simoneau,36,Action|Drama|History,Ubisoft,2009,0,0
The Good Witch's Family,Catherine Bell|Chris Potter|Catherine Disher|Noah Cappe|Hannah Endicott-Douglas,Craig Pryce,85,Drama|Family|Fantasy,The Hallmark Channel|Whizbang Films Inc.,2011,0,0
The Fly II,Eric Stoltz|Daphne Zuniga|Lee Richardson|John Getz|Frank C. Turner,Chris Walas,105,Horror|Science Fiction|Thriller,Brooksfilms,1989,0,6843010594
Ninja,Scott Adkins|Todd Jensen|Tsuyoshi Ihara|Mika Hijii|Togo Igawa,Isaac Florentine,83,Action|Crime|Drama|Thriller,Nu Image Films|Millennium Films,2009,1016400434,0
Sound of My Voice,Brit Marling|Christopher Denham|Nicole Vicius|Davenia McFadden|Kandice Stroh,Zal Batmanglij,85,Science Fiction|Drama|Mystery,Skyscraper Films,2011,0,0
Problem Child,John Ritter|Jack Warden|Michael Oliver|Gilbert Gottfried|Michael Richards,Dennis Dugan,81,Comedy,Imagine Entertainment|Universal Pictures,1990,0,0
Chained,Vincent D'Onofrio|Eamon Farren|Julia Ormond|Gina Philips,Jennifer Chambers Lynch,94,Horror|Thriller,Envision Media Arts|RGB Productions,2012,0,0
Robot Overlords,Gillian Anderson|Ben Kingsley|Callan McAuliffe|Geraldine James|Steven Mackintosh,Jon Wright,90,Adventure|Science Fiction|Action,British Film Institute (BFI)|Northern Ireland Screen|Pinewood Studios|British Film Company|Tempo Productions Limited,2015,193199915,0
The Collection,Josh Stewart|Christopher McDonald|Emma Fitzpatrick|Lee Tergesen|Erin Way,Marcus Dunstan,94,Horror|Thriller,Fortress Features|LD Entertainment,2012,0,6498205458
Santa Buddies,George Wendt|Craig Anton|Charisse Baker|Andrew Astor|Danny Woodburn,Robert Vince,88,Adventure,Walt Disney Studios Home Entertainment|Key Pix Productions|Keystone Entertainment|Santa Buddies Productions,2009,0,0
Look Who's Talking Now!,John Travolta|Kirstie Alley|Lysette Anthony|Diane Keaton|Danny DeVito,Tom Ropelewski,96,Romance|Comedy|Family,TriStar Pictures,1993,0,0
Dark Tide,Halle Berry|Olivier Martinez|Ralph Brown|Mark Elderkin|Luke Tyler,John Stockwell,113,Thriller|Adventure|Drama,Social Capital|Film Afrika Worldwide|Lipsync Productions|Procinvest Sas|Cinedigm,2012,2374360703,4105497595
Cujo,Dee Wallace|Danny Pintauro|Daniel Hugh Kelly|Christopher Stone|Ed Lauter,Lewis Teague,91,Horror|Thriller,TAFT Entertainment Pictures|Sunn Classic Pictures,1983,1094655999,0
Tommy Boy,Chris Farley|David Spade|Brian Dennehy|Bo Derek|Julie Warner,Peter Segal,97,Comedy,Paramount Pictures,1995,0,4671916932
Bad Company,Anthony Hopkins|Chris Rock|Peter Stormare|Gabriel Macht|Kerry Washington,Joel Schumacher,116,Action|Adventure|Comedy|Thriller,Jerry Bruckheimer Films|Touchstone Pictures|Stillking Films,2002,8485829755,7998172758
And So It Goes,Michael Douglas|Diane Keaton|Sterling Jerins|Paloma GuzmÃ¡n|Frances Sternhagen,Rob Reiner,94,Comedy|Drama|Romance,Castle Rock Entertainment|Envision Entertainment|ASIG Productions,2014,2763273152,2331501314
The Dirty Dozen,Lee Marvin|Ernest Borgnine|Charles Bronson|Jim Brown|John Cassavetes,Robert Aldrich,150,Action|Adventure|War,Metro-Goldwyn-Mayer (MGM)|Seven Arts Pictures|MKH,1967,1634190935,2961153974
Rudy,Sean Astin|Jon Favreau|Ned Beatty|Greta Lind|Scott Benjaminson,David Anspaugh,114,Drama,TriStar Pictures,1993,1811363954,3434098957
Friday the 13th Part VII: The New Blood,Kane Hodder|Lar Park Lincoln|Susan Jennifer Sullivan|Kevin Spirtas|Terry Kiser,John Carl Buechler,88,Horror|Thriller,Paramount Pictures,1988,5162894865,3534739276
Ten Little Indians,Hugh O'Brian|Shirley Eaton|Fabian|Wilfrid Hyde-White|Dennis Price,George Pollock,90,Crime|Drama|Thriller|Mystery,Tenlit Films,1965,0,0
Black Gold,Mark Strong|Antonio Banderas|Freida Pinto|Tahar Rahim|Riz Ahmed,Jean-Jacques Annaud,130,Adventure|Drama,France 2 CinÃ©ma|Quinta Communications|Carthago Films S.a.r.l.|Prima TV|Doha Film Institute The,2011,387759217,527934174
DÃ¨moni 2,David Edwin Knight|Nancy Brilli|Coralina Cataldi-Tassoni|Bobby Rhodes|Asia Argento,Lamberto Bava,91,Horror|Fantasy,DACFILM Rome,1986,2984109616,0
Wake Up Ron Burgundy: The Lost Movie,Will Ferrell|Christina Applegate|Paul Rudd|Steve Carell|David Koechner,Adam McKay,93,Comedy,DreamWorks SKG|Apatow Productions,2004,0,0
The Three Burials of Melquiades Estrada,Tommy Lee Jones|Barry Pepper|Dwight Yoakam|January Jones|Melissa Leo,Tommy Lee Jones,121,Adventure|Crime|Drama|Mystery|Western,The Javelina Film Company|EuropaCorp,2005,1674844934,1343912212
Mr. Turner,Timothy Spall|Roger Ashton-Griffiths|Jamie Thomas King|Lesley Manville|Lee Ingleby,Mike Leigh,150,History|Drama,Film4|Lipsync Productions|Thin Man Films|Focus Features International (FFI)|France 3 Cinema,2014,0,4978957675
A Troll in Central Park,Dom DeLuise|Phillip Glasser|Tawny Sunshine Glover|Cloris Leachman|Hayley Mills,Don Bluth|Gary Goldman,76,Fantasy|Animation|Science Fiction|Family,Don Bluth,1994,3383556592,1049902899
Open Season 3,Ciara Bravo|Charlie Bright|Cody Cameron|Karley Scott Collins|Mike Epps,Cody Cameron,75,Animation|Family|Comedy,Sony Pictures Animation,2010,0,0
The Babysitters,John Leguizamo|Katherine Waterston|Cynthia Nixon|Andy Comeau|Denis O'Hare,David Ross,88,Drama,Forensic Films|Upload Films|O.D.D. Entertainment|Rebel Films,2007,0,4716943927
The Seventh Sign,Demi Moore|Michael Biehn|JÃ¼rgen Prochnow|Peter Friedman|Manny Jacobs,Carl Schultz,97,Thriller|Mystery,TriStar Pictures|Interscope Communications|ML Delphi Premier Productions,1988,0,0
The Tall Man,Jessica Biel|Jodelle Ferland|Stephen McHattie|Jakob Davies|William B. Davis,Pascal Laugier,106,Horror|Mystery|Thriller,SND|Forecast Pictures|Iron Ocean Films|Radar Films,2012,1728534592,0
Return to the Blue Lagoon,Milla Jovovich|Brian Krause|Lisa Pelikan|Courtney Barilla|Garette Ratliff Henson,William A. Graham,98,Drama|Adventure|Romance,Columbia Pictures Corporation,1991,1761202126,4495634941
The Panic in Needle Park,Al Pacino|Kitty Winn|Alan Vint|Richard Bright|Kiel Martin,Jerry Schatzberg,110,Drama|Romance,gadd productions corp.|Didion-Dunne,1971,8858645634,0
Born To Race,Joseph Cross|John Pyper-Ferguson|Brando Eaton|Nicole Badaan|Sherry Stringfield,Alex Ranarivelo,99,Action,American Cinema International|ESX Productions,2011,0,0
Sophie's Choice,Meryl Streep|Kevin Kline|Peter MacNicol|Rita Karin|Stephen D. Newman,Alan J. Pakula,151,Drama|Romance,Keith Barish Productions|Incorporated Television Company,1982,2711570883,678706192
Shadowlands,Anthony Hopkins|Debra Winger|John Wood|Julian Fellowes|Roddy Maude-Roxby,Richard Attenborough,131,Drama|Romance,Shadowlands Productions|Savoy Pictures,1993,3320833916,0
Sniper 2,Tom Berenger|Bokeem Woodbine|Erika MarozsÃ¡n|TamÃ¡s PuskÃ¡s|Dan Butler,Craig R. Baxley,97,Action,Sandstorm Films,2002,6061306968,0
Splitting Heirs,Eric Idle|Rick Moranis|Barbara Hershey|Catherine Zeta-Jones|John Cleese,Robert Young,87,Comedy|Foreign,Universal Pictures|Prominent Features,1993,0,4830303877
Butterfly on a Wheel,Pierce Brosnan|Maria Bello|Gerard Butler|Emma Karwandy|Claudette Mink,Mike Barker,95,Crime|Drama|Thriller,Icon Productions|Infinity Features Entertainment|Irish Dreamtime|Icon Entertainment International|Canadian Film or Video Production Tax Credit (CPTC),2007,2103337165,0
Beethoven's Christmas Adventure,Curtis Armstrong|Tom Arnold|John Cleese|Kim Rhodes|Kyle Massey,John Putch,90,Comedy|Family,Universal Pictures,2011,0,0
